"pitch_type","pitch_id","game_date","start_speed","x0","z0","player_name","batter","pitcher","events","description","spin_dir","spin_rate","break_angle","break_length","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","px","pz","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs","tfs_zulu","catcher","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","hit_speed","hit_angle","effective_speed","release_spin_rate","release_extension","game_pk"
"FF",5,"2016-09-30","94.53     ","-2.173","5.514","Yu Darvish","572816","506433","Single","Ball","184.393   ","2385.894  ","2.9       ","2.4       ","14","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","B",7,3,1,0,2016,"-0.89                 ","11.55               ","0.248","1.36                ","null","null","null",0,1,"top","71.5700","117.3300","000850","2016-10-01T00:08:50Z","518960","483912","160930_191518","6.91","-136.578            ","-9.51","-1.72","23.49","-9.78","3.50","1.56","null","null","null","95.24","2543.00","6.57",449266
"FF",7,"2016-09-30","94.72     ","-2.163","5.665","Yu Darvish","572816","506433","Single","Swinging Strike","188.114   ","2401.386  ","12.4      ","2.3       ","11","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","S",7,3,2,1,2016,"-1.67                 ","11.65               ","-0.691","3.554               ","null","null","null",0,1,"top","71.5700","117.3300","000938","2016-10-01T00:09:38Z","518960","483912","160930_191604","4.58","-136.691            ","-3.93","-3.19","26.49","-9.78","3.50","1.56","null","null","null","94.58","2542.00","6.36",449266
"FF",8,"2016-09-30","96.24     ","-2.175","5.72","Yu Darvish","572816","506433","Single","Foul","195.081   ","2339.683  ","21.8      ","2.4       ","11","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","S",7,3,2,2,2016,"-2.95                 ","10.92               ","-0.094","3.978               ","null","null","null",0,1,"top","71.5700","117.3300","001004","2016-10-01T00:10:04Z","518960","483912","160930_191630","6.80","-139.306            ","-2.91","-5.85","29.10","-10.48","3.50","1.56","null","null","null","96.89","2557.00","6.77",449266
"FF",12,"2016-09-30","96.38     ","-2.263","5.489","Yu Darvish","572816","506433","Single","Foul","192.997   ","2423.716  ","23.5      ","2.4       ","13","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","S",7,3,3,2,2016,"-2.61                 ","11.28               ","-1.527","2.221               ","null","null","null",0,1,"top","71.5700","117.3300","001326","2016-10-01T00:13:26Z","518960","483912","160930_191955","2.98","-138.99             ","-7.33","-5.22","24.70","-9.55","3.50","1.56","null","null","null","96.91","2505.00","6.58",449266
"SL",13,"2016-09-30","82.72     ","-2.538","5.643","Yu Darvish","572816","506433","Single","Foul","88.583    ","1524.754  ","-21.6     ","9.6       ","7 ","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","S",7,3,3,2,2016,"8.52                  ","-0.26               ","-0.296","2.206               ","null","null","null",0,1,"top","71.5700","117.3300","001356","2016-10-01T00:13:56Z","518960","483912","160930_192025","2.69","-119.686            ","-1.35","12.58","19.40","-32.49","3.50","1.56","null","null","null","82.39","2721.00","5.99",449266
"FF",14,"2016-09-30","95.54     ","-2.244","5.487","Yu Darvish","572816","506433","Single","In play, no out","182.285   ","2362.356  ","1.8       ","2.3       ","13","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","X",7,3,3,2,2016,"-0.46                 ","11.38               ","-1.223","2.079               ","null","null","null",0,1,"top","71.5700","117.3300","001426","2016-10-01T00:14:26Z","518960","483912","160930_192051","2.97","-138.485            ","-7.63","-0.90","26.13","-9.64","3.50","1.56","1","40.7","-0.58               ","96.18","2402.00","6.50",449266
"FT",4,"2016-09-30","92.14     ","-2.065","5.869","Yu Darvish","572816","506433","Single","Ball","223.592   ","1952.578  ","29.9      ","4.9       ","11","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","B",7,3,0,0,2016,"-6.73                 ","7.03                ","-0.127","4.26                ","null","null","null",0,1,"top","71.5700","117.3300","000830","2016-10-01T00:08:30Z","518960","483912","160930_191500","7.46","-132.863            ","-0.64","-12.33","21.68","-19.22","3.38","1.50","null","null","null","92.45","2366.00","6.39",449266
"FF",6,"2016-09-30","94.27     ","-2.124","5.672","Yu Darvish","572816","506433","Single","Foul","189.596   ","2524.540  ","16.0      ","2.2       ","2 ","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","S",7,3,2,0,2016,"-2.06                 ","12.15               ","0.037","2.869               ","null","null","null",0,1,"top","71.5700","117.3300","000907","2016-10-01T00:09:07Z","518960","483912","160930_191535","6.59","-136.149            ","-5.98","-3.95","23.92","-8.81","3.50","1.56","null","null","null","94.77","2545.00","6.53",449266
"SL",9,"2016-09-30","84.10     ","-2.332","5.586","Yu Darvish","572816","506433","Single","Foul","73.242    ","1761.434  ","-22.0     ","10.7      ","14","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","S",7,3,2,2,2016,"9.38                  ","-2.87               ","0.954","1.502               ","null","null","null",0,1,"top","71.5700","117.3300","001039","2016-10-01T00:10:39Z","518960","483912","160930_191707","4.98","-121.894            ","-2.29","14.17","23.09","-36.44","3.50","1.56","null","null","null","83.91","2546.00","6.30",449266
"SL",10,"2016-09-30","83.23     ","-2.379","5.694","Yu Darvish","572816","506433","Single","Foul","62.621    ","1511.697  ","-16.9     ","10.9      ","8 ","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","S",7,3,2,2,2016,"7.53                  ","-3.95               ","0.062","1.763               ","null","null","null",0,1,"top","71.5700","117.3300","001133","2016-10-01T00:11:33Z","518960","483912","160930_191758","3.48","-120.375            ","-1.41","11.14","21.70","-37.94","3.50","1.56","null","null","null","82.80","2508.00","6.12",449266
"FF",11,"2016-09-30","96.44     ","-2.105","5.468","Yu Darvish","572816","506433","Single","Ball","202.160   ","2807.184  ","41.6      ","2.6       ","14","Corey Dickerson singles on a soft line drive to left fielder Carlos Gomez.  ","R ","L","R","TEX","TB ","B",7,3,2,2,2016,"-5.12                 ","12.54               ","0.543","1.102               ","null","null","null",0,1,"top","71.5700","117.3300","001306","2016-10-01T00:13:06Z","518960","483912","160930_191935","9.16","-139.498            ","-10.77","-10.18","28.92","-7.18","3.50","1.56","null","null","null","96.84","2668.00","6.67",449266
"FF",19,"2016-09-30","94.39     ","-2.059","5.625","Yu Darvish","595281","506433","Strikeout","Swinging Strike","187.245   ","2229.219  ","6.4       ","2.6       ","2 ","Kevin Kiermaier strikes out on a foul tip.  ","R ","L","R","TEX","TB ","S",0,0,0,1,2016,"-1.38                 ","10.85               ","0.172","3.118               ","null","null",572816,0,1,"top","0.0000","0.0000","001529","2016-10-01T00:15:29Z","518960","483912","160930_192156","6.54","-136.713            ","-4.71","-2.65","27.06","-11.34","3.42","1.58","null","null","null","95.27","2512.00","6.81",449266
"FF",20,"2016-09-30","95.36     ","-2.12","5.516","Yu Darvish","595281","506433","Strikeout","Foul Tip","187.313   ","2296.283  ","9.2       ","2.5       ","4 ","Kevin Kiermaier strikes out on a foul tip.  ","R ","L","R","TEX","TB ","S",0,0,0,2,2016,"-1.43                 ","11.1                ","-0.681","2.71                ","null","null",572816,0,1,"top","0.0000","0.0000","001547","2016-10-01T00:15:47Z","518960","483912","160930_192214","4.44","-137.957            ","-5.75","-2.78","28.23","-10.52","3.42","1.58","null","null","null","96.28","2386.00","6.93",449266
"FF",18,"2016-09-30","93.95     ","-2.15","5.658","Yu Darvish","595281","506433","Strikeout","Swinging Strike","190.432   ","2461.957  ","17.8      ","2.3       ","11","Kevin Kiermaier strikes out on a foul tip.  ","R ","L","R","TEX","TB ","S",0,0,0,0,2016,"-2.21                 ","11.96               ","-0.661","3.868               ","null","null",572816,0,1,"top","0.0000","0.0000","001510","2016-10-01T00:15:10Z","518960","483912","160930_192138","4.78","-135.596            ","-3.04","-4.17","26.05","-9.54","3.42","1.58","null","null","null","94.75","2432.00","6.89",449266
